,u,v,sim
0,n_sdg10_gini,n_sdg10_palma,0.8936170212765957
1,n_sdg10_gini,n_sdg16_homicides,0.7219512195121951
2,n_sdg10_gini,n_sdg1_wpc,0.7439613526570048
3,n_sdg10_palma,n_sdg1_wpc,0.7783251231527094
4,n_sdg10_palma,n_sdg16_security,0.7514450867052023
5,n_sdg11_pipedwat,n_sdg1_wpc,0.7663551401869159
6,n_sdg11_pipedwat,n_sdg16_u5reg,0.743455497382199
7,n_sdg11_pipedwat,n_sdg7_cleanfuel,0.7373737373737373
8,n_sdg11_pm25,n_sdg5_lfpr,0.7012987012987013
9,n_sdg11_slums,n_sdg3_uhc,0.8700564971751412
10,n_sdg11_slums,n_sdg17_govex,0.7272727272727273
11,n_sdg11_slums,n_sdg2_stunting,0.8522727272727273
12,n_sdg11_slums,n_sdg3_fertility,0.8131868131868132
13,n_sdg11_slums,n_sdg3_traffic,0.7333333333333333
14,n_sdg11_slums,n_sdg7_cleanfuel,0.8602150537634409
15,n_sdg11_transport,n_sdg8_accounts,0.7333333333333333
16,n_sdg11_transport,n_sdg16_exprop,0.7272727272727273
17,n_sdg11_transport,n_sdg8_rights,0.7310344827586207
18,n_sdg12_ewaste,n_sdg12_msw,0.8794326241134752
19,n_sdg12_ewaste,n_sdg2_obesity,0.7407407407407407
20,n_sdg12_ewaste,n_sdg13_co2gcp,0.8299319727891157
21,n_sdg12_ewaste,n_sdg17_sprofits,0.8591549295774648
22,n_sdg12_explastic,n_sdg14_biomar,0.8526315789473684
23,n_sdg12_explastic,n_sdg13_co2export,0.8144329896907216
24,n_sdg12_explastic,n_sdg3_births,0.806282722513089
25,n_sdg12_explastic,n_sdg17_multilat,0.7650273224043715
26,n_sdg12_explastic,n_sdg15_impdefor,0.8512820512820513
27,n_sdg12_explastic,n_sdg17_cohaven,0.8247422680412371
28,n_sdg12_explastic,n_sdg2_pestexp,0.7853403141361257
29,n_sdg12_msw,n_sdg13_co2gcp,0.8987341772151899
30,n_sdg12_msw,n_sdg8_impacc,0.891566265060241
31,n_sdg12_msw,n_sdg17_sprofits,0.8888888888888888
32,n_sdg12_msw,n_sdg2_obesity,0.7397260273972602
33,n_sdg12_nimport,n_sdg12_pollimp,0.9666666666666667
34,n_sdg12_nimport,n_sdg13_ghgimport,0.9555555555555556
35,n_sdg12_nimport,n_sdg15_impdefor,0.9354838709677419
36,n_sdg12_nimport,n_sdg6_scarcew,0.9310344827586207
37,n_sdg12_nimport,n_sdg8_impslav,0.9444444444444444
38,n_sdg12_nprod,n_sdg13_co2gcp,0.8588957055214724
39,n_sdg12_nprod,n_sdg7_co2twh,0.7654320987654321
40,n_sdg12_nprod,n_sdg8_impacc,0.8421052631578947
41,n_sdg12_nprod,n_sdg8_impslav,0.8421052631578947
42,n_sdg12_pollimp,n_sdg8_impslav,0.9555555555555556
43,n_sdg12_pollimp,n_sdg12_pollprod,0.8636363636363636
44,n_sdg12_pollimp,n_sdg13_co2export,0.8
45,n_sdg12_pollimp,n_sdg13_ghgimport,0.9555555555555556
46,n_sdg12_pollimp,n_sdg15_impdefor,0.9139784946236559
47,n_sdg12_pollimp,n_sdg6_scarcew,0.9310344827586207
48,n_sdg12_pollimp,n_sdg8_impacc,0.9333333333333333
49,n_sdg12_pollprod,n_sdg13_ghgimport,0.875
50,n_sdg12_pollprod,n_sdg17_multilat,0.7647058823529411
51,n_sdg12_pollprod,n_sdg8_impslav,0.8636363636363636
52,n_sdg13_co2export,n_sdg2_pestexp,0.7914438502673797
53,n_sdg13_co2export,n_sdg15_impdefor,0.7958115183246073
54,n_sdg13_co2export,n_sdg3_hiv,0.7619047619047619
55,n_sdg13_co2gcp,n_sdg13_ghgimport,0.8837209302325582
56,n_sdg13_co2gcp,n_sdg16_weaponsexp,0.8914285714285715
57,n_sdg13_co2gcp,n_sdg17_sprofits,0.8679245283018868
58,n_sdg13_co2gcp,n_sdg7_co2twh,0.7607361963190185
59,n_sdg13_ghgimport,n_sdg2_trophic,0.8466257668711656
60,n_sdg13_ghgimport,n_sdg15_impdefor,0.9139784946236559
61,n_sdg13_ghgimport,n_sdg6_scarcew,0.9080459770114943
62,n_sdg13_ghgimport,n_sdg8_impacc,0.9444444444444444
63,n_sdg13_ghgimport,n_sdg8_impslav,0.9555555555555556
64,n_sdg14_biomar,n_sdg8_impslav,0.861878453038674
65,n_sdg14_biomar,n_sdg16_weaponsexp,0.8586956521739131
66,n_sdg14_biomar,n_sdg17_cohaven,0.8602150537634409
67,n_sdg14_biomar,n_sdg2_pestexp,0.7868852459016393
68,n_sdg14_cleanwat,n_sdg14_trawl,0.7804878048780488
69,n_sdg14_cleanwat,n_sdg14_cpma,0.7058823529411765
70,n_sdg14_cleanwat,n_sdg3_pollmort,0.6993865030674846
71,n_sdg14_cleanwat,n_sdg14_discard,0.7388535031847133
72,n_sdg14_discard,n_sdg14_trawl,0.7757575757575758
73,n_sdg15_cpfa,n_sdg15_cpta,0.7671232876712328
74,n_sdg15_cpfa,n_sdg16_justice,0.6627906976744186
75,n_sdg15_forchg,n_sdg17_statperf,0.77
76,n_sdg15_forchg,n_sdg2_wasting,0.71
77,n_sdg15_forchg,n_sdg1_wpc,0.728110599078341
78,n_sdg15_forchg,n_sdg3_traffic,0.7282051282051282
79,n_sdg15_redlist,n_sdg17_cohaven,0.6703910614525139
80,n_sdg16_admin,n_sdg16_security,0.7530864197530864
81,n_sdg16_admin,n_sdg16_justice,0.7444444444444445
82,n_sdg16_admin,n_sdg8_rights,0.7402597402597403
83,n_sdg16_clabor,n_sdg17_statperf,0.7213114754098361
84,n_sdg16_clabor,n_sdg1_lmicpov,0.7142857142857143
85,n_sdg16_clabor,n_sdg7_cleanfuel,0.717391304347826
86,n_sdg16_cpi,n_sdg9_articles,0.746031746031746
87,n_sdg16_cpi,n_sdg16_rsf,0.706766917293233
88,n_sdg16_cpi,n_sdg16_exprop,0.7154471544715447
89,n_sdg16_detain,n_sdg9_mobuse,0.7305389221556886
90,n_sdg16_exprop,n_sdg8_rights,0.7368421052631579
91,n_sdg16_homicides,n_sdg3_fertility,0.8
92,n_sdg16_homicides,n_sdg3_traffic,0.7373737373737373
93,n_sdg16_homicides,n_sdg3_vac,0.6979166666666666
94,n_sdg16_homicides,n_sdg3_hiv,0.7589285714285714
95,n_sdg16_homicides,n_sdg4_primary,0.7263681592039801
96,n_sdg16_homicides,n_sdg4_second,0.7804878048780488
97,n_sdg16_homicides,n_sdg6_sanita,0.7867298578199052
98,n_sdg16_justice,n_sdg17_statperf,0.7253886010362695
99,n_sdg16_justice,n_sdg8_rights,0.7441860465116279
100,n_sdg16_security,n_sdg8_rights,0.7662337662337663
101,n_sdg16_u5reg,n_sdg7_elecac,0.8295454545454546
102,n_sdg16_u5reg,n_sdg3_births,0.8111111111111111
103,n_sdg16_u5reg,n_sdg8_adjgrowthi,0.7142857142857143
104,n_sdg16_u5reg,n_sdg3_tb,0.7325581395348837
105,n_sdg16_u5reg,n_sdg4_literacy,0.7771428571428571
106,n_sdg16_weaponsexp,n_sdg8_impacc,0.8961748633879781
107,n_sdg16_weaponsexp,n_sdg17_cohaven,0.8936170212765957
108,n_sdg16_weaponsexp,n_sdg8_unemp,0.7647058823529411
109,n_sdg16_weaponsexp,n_sdg17_multilat,0.7570621468926554
110,n_sdg16_weaponsexp,n_sdg17_sprofits,0.8823529411764706
111,n_sdg16_weaponsexp,n_sdg6_freshwat,0.7021276595744681
112,n_sdg16_weaponsexp,n_sdg7_co2twh,0.7586206896551724
113,n_sdg17_cohaven,n_sdg8_impacc,0.8864864864864865
114,n_sdg17_cohaven,n_sdg8_impslav,0.8648648648648649
115,n_sdg17_cohaven,n_sdg8_unemp,0.7441860465116279
116,n_sdg17_govex,n_sdg7_cleanfuel,0.7337278106508875
117,n_sdg17_govex,n_sdg3_uhc,0.725
118,n_sdg17_sprofits,n_sdg2_obesity,0.7346938775510204
119,n_sdg17_statperf,n_sdg4_second,0.7789473684210526
120,n_sdg17_statperf,n_sdg1_lmicpov,0.7593582887700535
121,n_sdg1_lmicpov,n_sdg1_wpc,0.8921568627450981
122,n_sdg1_lmicpov,n_sdg7_cleanfuel,0.8404255319148937
123,n_sdg1_lmicpov,n_sdg2_mdd,0.8372093023255814
124,n_sdg1_lmicpov,n_sdg4_second,0.8253968253968254
125,n_sdg1_wpc,n_sdg2_undernsh,0.8256880733944955
126,n_sdg1_wpc,n_sdg7_cleanfuel,0.7864077669902912
127,n_sdg2_crlyld,n_sdg6_sanita,0.7251461988304093
128,n_sdg2_crlyld,n_sdg4_second,0.703030303030303
129,n_sdg2_mdd,n_sdg2_stunting,0.8048780487804879
130,n_sdg2_mdd,n_sdg3_neonat,0.8187134502923976
131,n_sdg2_obesity,n_sdg8_slavery,0.7044025157232704
132,n_sdg2_snmi,n_sdg8_impslav,0.6826347305389222
133,n_sdg2_stunting,n_sdg3_neonat,0.8587570621468926
134,n_sdg2_stunting,n_sdg2_wasting,0.7039106145251397
135,n_sdg2_stunting,n_sdg3_swb,0.8143712574850299
136,n_sdg2_stunting,n_sdg3_uhc,0.8538011695906432
137,n_sdg2_stunting,n_sdg6_wastewat,0.7702702702702703
138,n_sdg2_stunting,n_sdg8_accounts,0.7852760736196319
139,n_sdg2_stunting,n_sdg9_articles,0.7972972972972973
140,n_sdg2_trophic,n_sdg8_impacc,0.8343558282208589
141,n_sdg2_trophic,n_sdg8_impslav,0.8343558282208589
142,n_sdg2_undernsh,n_sdg3_hiv,0.7657657657657657
143,n_sdg2_undernsh,n_sdg6_sanita,0.8038277511961722
144,n_sdg2_undernsh,n_sdg8_adjgrowthi,0.7058823529411765
145,n_sdg2_undernsh,n_sdg9_intuse,0.8059701492537313
146,n_sdg2_undernsh,n_sdg9_mobuse,0.8
147,n_sdg3_births,n_sdg4_literacy,0.7932960893854749
148,n_sdg3_births,n_sdg7_elecac,0.8
149,n_sdg3_fertility,n_sdg6_sanita,0.8497409326424871
150,n_sdg3_fertility,n_sdg4_second,0.8128342245989305
151,n_sdg3_hiv,n_sdg6_freshwat,0.7428571428571429
152,n_sdg3_lifee,n_sdg3_neonat,0.8685714285714285
153,n_sdg3_lifee,n_sdg3_pollmort,0.8214285714285714
154,n_sdg3_lifee,n_sdg3_ncds,0.7901234567901234
155,n_sdg3_lifee,n_sdg3_uhc,0.8402366863905325
156,n_sdg3_lifee,n_sdg6_sanita,0.8216216216216217
157,n_sdg3_matmort,n_sdg3_u5mort,0.810126582278481
158,n_sdg3_matmort,n_sdg4_literacy,0.7926829268292683
159,n_sdg3_matmort,n_sdg7_elecac,0.8
160,n_sdg3_ncds,n_sdg3_pollmort,0.7926829268292683
161,n_sdg3_ncds,n_sdg3_neonat,0.7368421052631579
162,n_sdg3_neonat,n_sdg3_uhc,0.8764044943820225
163,n_sdg3_neonat,n_sdg9_articles,0.8129032258064516
164,n_sdg3_neonat,n_sdg3_swb,0.8160919540229885
165,n_sdg3_neonat,n_sdg6_wastewat,0.7741935483870968
166,n_sdg3_neonat,n_sdg9_intuse,0.8387096774193549
167,n_sdg3_pollmort,n_sdg7_cleanfuel,0.8111111111111111
168,n_sdg3_swb,n_sdg3_uhc,0.8452380952380952
169,n_sdg3_swb,n_sdg4_preprim,0.8117647058823529
170,n_sdg3_swb,n_sdg5_familypl,0.7065868263473054
171,n_sdg3_tb,n_sdg3_u5mort,0.7757575757575758
172,n_sdg3_tb,n_sdg7_elecac,0.7441860465116279
173,n_sdg3_u5mort,n_sdg7_elecac,0.8520710059171598
174,n_sdg3_uhc,n_sdg7_cleanfuel,0.8839779005524862
175,n_sdg3_uhc,n_sdg4_preprim,0.8275862068965517
176,n_sdg3_uhc,n_sdg5_familypl,0.7134502923976608
177,n_sdg3_uhc,n_sdg9_intuse,0.8444444444444444
178,n_sdg4_literacy,n_sdg7_elecac,0.8228571428571428
179,n_sdg4_literacy,n_sdg4_primary,0.7262569832402235
180,n_sdg4_preprim,n_sdg9_intuse,0.8021978021978022
181,n_sdg4_primary,n_sdg4_second,0.7340425531914894
182,n_sdg4_second,n_sdg7_cleanfuel,0.8481675392670157
183,n_sdg4_second,n_sdg5_edat,0.7634408602150538
184,n_sdg4_second,n_sdg6_sanita,0.8282828282828283
185,n_sdg4_second,n_sdg8_accounts,0.7931034482758621
186,n_sdg5_edat,n_sdg9_intuse,0.7717391304347826
187,n_sdg5_edat,n_sdg7_cleanfuel,0.7567567567567568
188,n_sdg5_familypl,n_sdg7_cleanfuel,0.7111111111111111
189,n_sdg5_lfpr,n_sdg6_freshwat,0.6941176470588235
190,n_sdg5_parl,n_sdg6_freshwat,0.611764705882353
191,n_sdg6_freshwat,n_sdg7_renewcon,0.5882352941176471
192,n_sdg6_freshwat,n_sdg6_scarcew,0.7150837988826816
193,n_sdg6_sanita,n_sdg7_cleanfuel,0.8730964467005076
194,n_sdg6_sanita,n_sdg6_water,0.7979274611398963
195,n_sdg6_sanita,n_sdg9_intuse,0.8367346938775511
196,n_sdg6_sanita,n_sdg9_roads,0.7486631016042781
197,n_sdg6_wastewat,n_sdg9_articles,0.8253968253968254
198,n_sdg6_wastewat,n_sdg9_uni,0.7591240875912408
199,n_sdg6_wastewat,n_sdg9_rdex,0.7407407407407407
200,n_sdg6_wastewat,n_sdg9_lpi,0.7096774193548387
201,n_sdg6_wastewat,n_sdg9_patents,0.7
202,n_sdg6_water,n_sdg7_elecac,0.8491620111731844
203,n_sdg6_water,n_sdg9_roads,0.8068181818181818
204,n_sdg7_cleanfuel,n_sdg9_intuse,0.8677248677248677
205,n_sdg7_cleanfuel,n_sdg9_mobuse,0.7978142076502732
206,n_sdg7_cleanfuel,n_sdg9_uni,0.757396449704142
207,n_sdg7_elecac,n_sdg9_roads,0.7514450867052023
208,n_sdg8_accounts,n_sdg9_articles,0.7943262411347518
209,n_sdg8_impacc,n_sdg8_impslav,0.9777777777777777
210,n_sdg8_impacc,n_sdg8_unemp,0.7425149700598802
211,n_sdg9_articles,n_sdg9_patents,0.72
212,n_sdg9_articles,n_sdg9_uni,0.7445255474452555
213,n_sdg9_intuse,n_sdg9_mobuse,0.8131868131868132
214,n_sdg9_lpi,n_sdg9_rdex,0.7547169811320755
215,n_sdg9_lpi,n_sdg9_uni,0.7407407407407407
216,n_sdg9_patents,n_sdg9_rdex,0.7804878048780488
